interaction_id,customer_tweet_id,agent_tweet_id,customer_message,context,historical_agent_response,human_intent,should_escalate,escalation_reason,provisional_intent
974416,937402,974416,@342218 @115858 Phone so slow. Dead battery in 8 hours. COGNOS no longer works on iPad. Bad juju,[CUSTOMER] I’m assuming someone has told @115858 that the latest iOS update is terrible,@351080 We'd be happy to look into this with you. Send us a DM with which iOS version you're on to get started. https://t.co/GDrqU22YpT,,,,BATTERY_POWER
2346112,2346113,2346112,@AppleSupport app store keep asking me to verify my payment information even I’ve already verified it so many times. I put my payment method to none and it’s still asking the same thing. Now I can’t update or download any apps at all. What’s the solution?,,"@678388 We'd like to help you get to the right place for help with this. To get started, connect with our iTunes Store Support here: https://t.co/SDIe7UiyJN",,,,ACCOUNT_SECURITY
518358,518359,518358,@115858 get your shit together! Can’t use a specific letter on my keyboard Literally had to write an important email for school and couldn’t.,,"@239558 We want you to be able to count on your Apple devices to be there for you, and we'll do all we can to help. To start, let us know what device and OS you're using the keyboard with, and we'll get started.",,,,DEVICE_HARDWARE
1877178,1877177,1877178,@AppleSupport @560353 Battery life decreased significantly here too since update. I can watch it dropping 😩,"[CUSTOMER] Dear @115858 can you please release a bug fix to your #ios11 that's destroying my battery life! Please and thank you. #FirstWorldProblems
[CUSTOMER] @321041 @115858 Seriously battery is draining like anything. I have to top us the phone after 2 hours daily  &amp; it’s really annoying 😢😓
[AGENT] @560353 Let's take a look at this together. Have you already updated to iOS 11.0.3? Let us know in DM and we'll get started. https://t.co/GDrqU22YpT",@560354 We'll be happy to take a look into your battery issues too. Please send us a DM so we may better assist you. https://t.co/GDrqU22YpT,,,,IOS_UPDATE
1345633,1345634,1345633,I hate @115858 so much. I can’t access iCloud and the shit is set up and I’m paying for extra storage but can’t see none of my pictures,,@433771 We want to help. Send us a DM letting us know which country you are located in to get started. https://t.co/GDrqU22YpT,,,,OTHER_UNCLEAR
1912839,1912841,1912839,@AppleSupport There’s not even a chat option in support for this issue!!! HOW AM I SUPPOSED TO ANSWER THE PHONE IF I DONT HAVE CELLULAR DATA,[CUSTOMER] @AppleSupport why is my fucking phone not connecting to Verizon anymore? Always a fucking issue with your phones,"@217537 Help is here! When did this behavior first begin? When it's not connected to Verizon, does it show 'no service'?",,,,CONNECTIVITY
1637816,1637814,1637816,@AppleSupport I don't use iCloud drive and the only other thing on the account is my Mac https://t.co/cXYk77dSsD,"[CUSTOMER] I literally use iCloud for contacts and backing up one device. What gives @AppleSupport ? https://t.co/PzRyEa2WHP
[AGENT] @500883 We'd be happy to look into what's going on. Which iPhone and iOS version are you using?
[CUSTOMER] @AppleSupport iPhone 7+ with 11.0.3 though I am upgrading to an X tonight. I upgraded to the 200 gig plan as I'm going to a larger capacity phone
[AGENT] @500883 If you open up the Files app, do you have any data there? Do you use any other devices with iCloud, such as a Mac or iPad?",@500883 You can restore contacts at https://t.co/tmRhWEkIq4. Try the steps here and advise us of the results: https://t.co/K2yHqVQNGI https://t.co/GDrqU22YpT,,,,ACCOUNT_SECURITY
2422394,2422395,2422394,This stupid I️ thing is fucking annoying. Thanks @115858 👎🏼😑,,"@695754 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",,,,OTHER_UNCLEAR
695314,695315,695314,@AppleSupport song is playing but timing is still 0.00😲😲 https://t.co/DceiY29XaV,,@285832 Does the progression show normally within the Music app itself? Reach out via DM and let us know. https://t.co/GDrqU22YpT,,,,APPS_MEDIA
2472952,2472953,2472952,@AppleSupport could you help me diagnose my iPhone battery?,,@707137 We understand how important having a functioning battery can be. We're here to help. Please meet us in DM and we'll take a further look into this with you. https://t.co/GDrqU22YpT,,,,APPS_MEDIA
1225224,1225226,1225224,"Hey, @AppleSupport. You have any idea why my apple id keeps getting disabled day after day? This has been happenning since sunday.",,@407445 We recommend contacting our Apple ID experts; as they can verify the account identity. Reach them here: https://t.co/UJm15vmMM2,,,,ACCOUNT_SECURITY
1709205,1709204,1709205,@AppleSupport I can’t get the update because I can’t connect to WiFi.,"[CUSTOMER] My IPhone glitch is that it won’t stay connected to any WiFi. @AppleSupport ?
[AGENT] @517906 We're here to help and get you connected. In this scenario, check out: https://t.co/sXbhzfS2lM and keep us posted.
[CUSTOMER] @AppleSupport Thank you. I did all of these and no dice. I’m using an iPhone 8.
[AGENT] @517906 Let's take a closer look. Please DM us the version of iOS you're using and we can go from there. https://t.co/GDrqU22YpT","@517906 Got it. Send us a DM and we'll continue from there, please. https://t.co/GDrqU22YpT",,,,CONNECTIVITY
2727005,2727007,2727005,"@AppleSupport ever since i updated my 6s, my battery life is horrible, i have to leave my phone on charge or else it will crash and will not turn on until i plug it in.",,@764713 We'll be happy to look into what's going on together. Which iOS version are we working with? You'll find that in Settings &gt; General &gt; About.,,,,BATTERY_POWER
1839995,1839996,1839995,"@AppleSupport Bought an iPad Pro Smart Keyboard and a Silicon case July 16 From Apple https://t.co/PccRArBKiP is split, Keyboard not working",,@427455 Let's take a look at both of them together and see our options. Please send us a DM so we may better assist you. https://t.co/GDrqU22YpT,,,,DEVICE_HARDWARE
652952,652954,652952,@AppleSupport how do I cancel this subscription? My daughter downloaded this by accident https://t.co/8gOFQEqYwy,,@275259 We can help with that. Check out this article with steps to cancel this subscription: https://t.co/bOr0wYMLXU,,,,FEATURE_HOW_TO
703215,703218,703215,@AppleSupport seriously guys. new update keeps freezing my phone and is ridiculously draining battery life. Not cool at all. 👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼,,@287999 Let's look into this together. Our latest version is iOS 11.0.2. Are you fully up to date?,,,,BATTERY_POWER
2406526,2406528,2406526,"@AppleSupport I would appreciate a swift response, as I use my device for work. I only wanted to opt out of the beta program. It was then I discovered the password issue.","[CUSTOMER] @AppleSupport Hi Apple, 
I requested an account recovery, as I cannot log in. I waited 24 hours as required, only to be told I must wait a further 6 days! Nor have I received an sms.",@692102 Thanks for reaching out to us about your Apple ID. We certainly understand wanting to have that be accessible and we can help. Reach out to our team that specializes in Apple ID's here: https://t.co/UJm15vmMM2,,,,ACCOUNT_SECURITY
2320091,2320096,2320091,"@116333 @454862 @29387 iPhone8 quality control is so bad, yellow screen, The back glass has obvious spillage. its Apple quality？？？",[CUSTOMER] Congratulations @454862 @29387 on an EPIC win! Couldn’t be prouder.  See you in 2 weeks. WDE! #Auburn,@672418 Let's take a closer look at your iPhone 8. DM us your location and we'll get started. https://t.co/GDrqU22YpT,,,,DEVICE_HARDWARE
740581,6771,740581,@AppleSupport I seem to be unable to move the buttons around? How do I do that?,"[AGENT] Introducing the new Control Center in iOS 11. Now customizable.
Learn more https://t.co/fCNsZCyS3P https://t.co/WiFGzhh3AZ",@297116 We are here to help. What buttons are you referring too?,,,,FEATURE_HOW_TO
2123900,2123901,2123900,@AppleSupport hi why do iPhones replace the letter “I” with the question mark box that it shows when an emoji doesn’t work?,,@254161 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,APPS_MEDIA
2422548,2422546,2422548,@AppleSupport I can type “i” now but I can’t CAP lock on my keyboard now. 🙄🙄🙄,"[CUSTOMER] Honestly everyone know what I️ means by now so y’all can deal with my ugly tweets till @115858 rights their wrong.
[AGENT] @695791 We'd be glad to help out. If you're experiencing the autocorrrect issue, have you updated to iOS 11.1.1 yet? We patched that issue.","@695791 Got it. Does the button on the keyboard appear to turn on, but then the words aren’t capitalized or does it not turn on at all? Can you tell us the keyboard you are using? If unsure, you can find this in Settings &gt; General &gt; Keyboard &gt; Keyboards.",,,,DEVICE_HARDWARE
2287602,2287603,2287602,@115858 @AppleSupport how do I fix the “I.t” I just want to type “it” 😭😭,,"@496802 Let's be sure we've got iOS 11.1.1 installed. It was released recently and includes some fixes for autocorrect issues. You can check that in Settings &gt; General &gt; About. If not, you can backup and install it now. How to back up: https://t.co/4f8hwT5to6",,,,FEATURE_HOW_TO
2523472,2523473,2523472,@AppleSupport  The New update for the Iphone 7 is laggy.Please fix all the https://t.co/7ACt8cH3Dr!!,,"@370364 We want everything running at its best after an update. 
Meet us in DM, give us some details, such as which apps and features are running slowly, and which country you're in, and we'll go from there. https://t.co/GDrqU22YpT",,,,IOS_UPDATE
1019393,1019395,1019393,@115858 will the ifone5c not work much longer with this ios11 update? Disappointed daughter in here losing wifi,,"@361207 If you're noting issues with the Wi-Fi on your iPhone, we'd like to help. What specifically seems to be going on?",,,,IOS_UPDATE
1840076,1840077,1840076,@AppleSupport ever since i updated my iphone 7 plus to the new update it freezes a lot and shuts down randomly. why is this ☹️,,@551461 We want iOS 11 to work well with your iPhone. Which apps aren't responding? Have you noticed any trends with the issue? DM us: https://t.co/GDrqU22YpT,,,,PERFORMANCE_STABILITY
406645,406646,406645,iPadPro charges so slowly. ‘Not charging’ at all via travel adapter. Help @AppleSupport - can go to Apple store &amp; buy something if need be!,,@211921 We'd love to assist you. Let's try the steps listed here: https://t.co/uqxquyfdn0. DM the results. https://t.co/GDrqU22YpT,,,,BATTERY_POWER
1922015,1922016,1922015,"Hey @AppleSupport .. I just wasn’t able to move on my home screen, open any apps, and took forever to make it restart. What’s going on??",,"@572169 It's important to us that your device responds like you expect. Send us a DM, and let us know the result after restarting. https://t.co/GDrqU22YpT",,,,DEVICE_HARDWARE
481836,481838,481836,"@AppleSupport The function ""paste"" (command + V) is not working in my #MacBookAir since the last security update. Can you help me?",,"@229529 We'd like to look into this with you. To get started, does your Command functions work? Since noticing the issue, have you restarted the Mac. Does it resolve the issue?",,,,ACCOUNT_SECURITY
1496059,1496060,1496059,So my phone on 6% and all of a sudden my charger will not charge my phone. @115858 don't start this foolery!,,@467346 Hi! We're back in the office for the day and wanted to check in with you &amp; the iPhone charging situation. How's it going?,,,,BATTERY_POWER
2207572,2207573,2207572,@AppleSupport how do I even phone? https://t.co/4qqnLNNCst,,"@645416 We want your screen to be working at its best. When did this issue begin happening? Is anything different from when it was working until now, such as an upgrade to iOS or a new app?",,,,FEATURE_HOW_TO
2132090,2132091,2132090,"@AppleSupport an app has taken money off me but not delivered the service and is now not answering my emails, how can I get my money back?",,@627435 Let's get you pointed in the right direction!  Reach out to our iTunes support team at: https://t.co/SDIe7UiyJN,,,,FEATURE_HOW_TO
1877119,1877120,1877119,"With my new MBP’s stuck keys and failing USB power cables and the buggy iPhone update, I’m worried about @115858. Used to all “just work”.",,@560338 We are here to help whenever possible. DM the country or region where you are currently located to get started. https://t.co/GDrqU22YpT,,,,DEVICE_HARDWARE
546557,546559,546557,"Anyone else’s iPhone battery life fucking shite after iOS11?
Come on @115858 &amp; @AppleSupport - sort this shit out! 🤬",,"@247092 Battery life is definitely important, so let’s look into this together. To confirm, is your iPhone currently running iOS version 11.2?",,,,BATTERY_POWER
851793,851795,851793,"@AppleSupport hi, how do I save a video from my iCloud to my phone? Only option is save image, I'd like it as a video. Thanks https://t.co/gD1XhEdflE",,"@322338 We'd be happy to help. Could you tell us what type of file you're trying to save as a video? Also, what iOS version you have?",,,,APPS_MEDIA
1125459,1125460,1125459,How to turn on insta notif? @AppleSupport https://t.co/uwd4YJe387,,@385364 We'd be happy to look into this with you.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,,,,FEATURE_HOW_TO
1551641,1551642,1551641,@AppleSupport Is the App Store (India) not working? Can’t seem to connect to it since morning. I do have internet. https://t.co/1lpMMSb002,,"@480141 Let's buddy up and take a look at this in more detail in DM. Meet us there, and we'll get to work. https://t.co/GDrqU22YpT",,,,CONNECTIVITY
1216338,1216340,1216338,"@AppleSupport hi, my gifs are sending extremely small to others but I receive their gifs at normal size. How can I fix this?",,@405412 We're happy to take a look in to this with you and figure out what is going on! What device is this on?,,,,FEATURE_HOW_TO
1065873,1065875,1065873,hello dear Apple team skin times but an update out so that the battery does not go so quickly empty @115858,,"@371656 If you're running into battery life issues, we're here to help. Which device &amp; OS version do you have?",,,,IOS_UPDATE
1857636,1857637,1857636,"@AppleSupport ios 11.0.3 has issues with alarm. Battery draining, need to charge everyday. Fix it please",,@267004 Let's see what we can do to get this resolved. Which device is this happening on? Reply in DM to get started. https://t.co/GDrqU22YpT,,,,BATTERY_POWER
2890677,2890679,2890677,@AppleSupport How do I get autocorrect to stop capitalizing random words. Like house?,,"@351514 We want to help. Is “house” the only word that you’re having problems with? Also, which iOS is on the iPhone? You can check by going to Settings &gt; General &gt; About.",,,,FEATURE_HOW_TO
1299021,1299022,1299021,"@423594 @115948 @115858 It just stopped working all of a sudden, and it’s telling me I have to sign up again. And put my information y no me deja","[CUSTOMER] Fuck @115948 and everything @115858 
😤😩😩😭
[CUSTOMER] @423593 @115948 @115858 Why",@423593 Thank you. We’re investigating and will update our System Status page as more info becomes available: https://t.co/Fcu0biZf0L,,,,OTHER_UNCLEAR
