interaction_id,customer_tweet_id,agent_tweet_id,customer_message,context,historical_agent_response,human_intent,should_escalate,escalation_reason
388905,388906,388905,@208024 @115858 I keep having to charge 2-3 times a day and my phone is 6 months old. Wtf is up with iOS 11,[CUSTOMER] Hi. iOS 11 is draining my battery. Send help. @115858,@208023 We'd like to look into this with you. DM us and we'll get started. https://t.co/GDrqU22YpT,,,
587082,587084,587082,"I've turned off the system haptics on my iPhone but for certain things I can still feel the tap and it's stressing me tf out, how do I turn all of them off? #iphone7 #systemhaptic @AppleSupport",,@258660 You can disable full system Haptics by going to Settings &gt; Sounds &amp; Haptics  and toggling off System Haptics.,,,
659463,659464,659463,"@115858  you suck! With the latest iOS, battery drains at least 40% faster. #apple",,@277028 We'd like to look into this with you. Let us know which device you're using and the exact version of iOS installed via DM. https://t.co/GDrqU22YpT,,,
1745486,1745488,1745486,Honestly though can someone help me figure out what this @115858 problem is?? I don't get it,,@526303 We'd like to help. DM us what you are experiencing and we will go from there. https://t.co/GDrqU22YpT,,,
1542729,1542730,1542729,@115858 update 11.1 both of my iPhones will no longer connect to either of my vehicles stereo units using Bluetooth or cable. Both cars 2015,,@477949 Did you have issues prior to the update? Let us know in a DM. https://t.co/GDrqU22YpT,,,
1967960,1967961,1967960,@115858 @AppleSupport my new iPhone 8 is giving me no end of grief. Whenever the camera is on (photo or snapchat)it either freezes or restart,,@583137 We want you to be able to use that amazing camera. Please DM your version of iOS. We'll meet you there to help. https://t.co/GDrqU22YpT,,,
2286744,2286745,2286744,"Dear @AppleSupport @115858 I like your products, buy them and recommend them to friends etc etc BUT this damn keyboard I or i that converts to a ? And box sucks. You have all these engineers, get it fixed or give me another iPhone. Thanks",,@517326 Let's look into this for you. iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating. This page should help: https://t.co/80YRnjDFDk DM us if you run into any issues. https://t.co/GDrqU22YpT,,,
2595529,2595531,2595529,@AppleSupport my IPad no longer multitasks since ios 11,,"@734930 We want you to get the most out of your iPad and are happy to offer our guidance. To confirm, you are using the steps here but unable to use Multitasking? https://t.co/WTnoQ22YPG

Also, which iOS version do you see in Settings &gt; General &gt; About?",,,
1887005,1887006,1887005,"@AppleSupport Identical, left ear piece not working and siri being activated sporadically. Yes it came with the original IPhone 7","[CUSTOMER] When one of the earphones stop working after only 6 months of your iPhone 7 @AppleSupport 🤔
[AGENT] @562809 Let's take a look at it together. Have you had a chance to test these EarPods with another device yet?
[CUSTOMER] @AppleSupport Yep - another iPhone 7!
[AGENT] @562809 Was the issue the same on both devices, or was it different? Did these earphones come with your iPhone 7?","@562809 Let's continue this conversation in DM. Then, let us know what country you're in. https://t.co/GDrqU22YpT",,,
2369471,2369473,2369471,@AppleSupport Whenever I screen record something it won’t record internal audio after it’s been saved. I’ve also tried it with the mic on and there’s nothing. I feel like it’s a bug issue with the new update? Any tips on how to fix this?,,@683813 Thanks for reaching out to us on this and we're happy to help. Can you let us know which device this is on and which version of the iOS is currently installed?,,,
1967747,1967748,1967747,"@AppleSupport umm, really??? photos has got to be the worst app of all time--how do i select ONLY favorites in an album?????",,"@342999 Picking favorites is easy, for information check this out: https://t.co/EYgbVpCw0b If you have more question let us know in DM. https://t.co/GDrqU22YpT",,,
2008084,2008085,2008084,"Latest iOS update eating up battery usage at alarming rate. Have most apps off cellular and location, juice still running down @AppleSupport",,"@175418 We'll do everything we can to help you find a solution. DM us with more details, including what device you're using. https://t.co/GDrqU22YpT",,,
2152153,2152154,2152153,@115858 u tellin me that if u turn off your device and it’s on the charger it doesn’t charge anymore 😭🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ i have been charging my ipad for 2 hours and i turned it off at 30 % JUST turned it back on and it’s at 37 😭,,"@632416 We'd like to take a closer look at this to make sure everything is working as it should with your iPad. Let's continue chatting via DM. When you reach out, let us know what type of charging cable you're using, along with your current iOS version. https://t.co/GDrqU22YpT",,,
321777,321778,321777,@AppleSupport How does my family use the TV app on the new Apple TV 4K? Was it really designed for just one user? Or am I missing something?,,@192654 Let's get working on this and see how we can help. Meet us in DM and let us know which country you're in. https://t.co/GDrqU22YpT,,,
794627,794628,794627,Since the most recent update my iPhone 6 won't hold a charge nearly as long as it used to. Why @115858 ??,,@309457 We'd like to look into your concerns. Reach out via DM and let us know what version of iOS you're using. https://t.co/GDrqU22YpT,,,
2695019,2695021,2695019,"Recently updated OS. Now I get harassment screen ""What's new in Photos"" every time I open the damn thing. How do I turn it off, forever? @AppleSupport",,@717004 Thank you for allowing us to address your concern. What options do you see within that message?,,,
