interaction_id,customer_message,reply,human_overall_score,human_grounded,human_relevant,human_helpful,judge_overall,judge_groundedness,judge_relevance,judge_helpfulness,judge_correctness,judge_style,judge_unsupported_claim,judge_reason,latency_seconds,error
2814607,"@AppleSupport 
While you might have fixed the matter of unresponsive screen on the X model my 5SE is still having big issues. The edge of the screen (2-3mm) is unresponsive and furthermore is reacting like 5mm away fr were I press it. Any 💡?",We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,3,4,1,1,1,1,1,2,False,"The reply does not address the customer’s specific issue of an unresponsive screen edge, nor does it provide any troubleshooting steps or relevant information. It merely requests the customer to provide details via a private channel, which is generic and does not move the customer toward a resolution. The response is not grounded in the historical evidence and lacks relevance and helpfulness. The style is concise and professional but fails to meet the support needs.",1.2236190999974497,
2695019,"Recently updated OS. Now I get harassment screen ""What's new in Photos"" every time I open the damn thing. How do I turn it off, forever? @AppleSupport","When the ""What's new in Photos"" screen appears, tap the ""Don’t show me again"" button if it’s available.",3,2,4,5,5,5,5,5,5,4,False,"The reply directly addresses the customer’s request by providing the correct action—tapping the “Don’t show me again” button—supported by the historical evidence where AppleSupport inquired about that option. It is concise, professional, and offers a clear next step, moving the customer toward resolution without introducing unsupported claims.",0.8743179999873973,
1591486,@115858 PLEASE help!! I am trying to download an update. I am connected to wi fi. What can I do? https://t.co/5tKpqFGHM3,Have you tried a different Wi‑Fi network? Let us know if that helps.,5,5,5,4,5,5,5,5,5,5,False,"The reply directly addresses the customer's issue by suggesting a practical troubleshooting step that aligns with prior support responses. It is concise, professional, and empathetic, and it contains no unsupported claims.",0.9881907000089996,
2455314,@115858 fix this shit bro. My phone is freezing and all my shit isn’t working. We ain’t playing out here,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,4,4,4,1,1,1,1,1,2,False,"The reply does not address the customer’s specific issue of phone freezing, nor does it provide any troubleshooting steps or relevant information. It is generic, lacks empathy, and does not reference any of the historical evidence. Consequently, it scores low across all dimensions.",1.1157106999889947,
1007155,@AppleSupport Where is this in my settings? I can’t find it! #fustrated https://t.co/vsaToJYjvo,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,4,5,1,1,1,1,1,1,False,"The reply does not address the customer's request for a settings location, lacks any troubleshooting steps, and merely asks for private details, which is not helpful or relevant.",1.1803815999883227,
2855326,The iPhone X screen regularly freezes even when it's not cold out. Not sure if it's specific to iPhone X or iOS 11 in general but I didn't notice this as much on my iPhone 7 on iOS 11. @AppleSupport,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,5,5,1,1,1,1,1,2,False,"The reply does not address the customer’s specific problem of screen freezing on an iPhone X, offers no troubleshooting steps or relevant information, and merely asks for private details. It is not grounded in the historical evidence and provides no actionable guidance, making it ineffective and unhelpful.",1.3182962000137195,
1170181,@AppleSupport i am unable to login my existing apple id in my iphone,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,5,5,1,1,1,1,1,2,False,"The reply does not address the customer’s specific problem of being unable to log in to their Apple ID on an iPhone. It offers no troubleshooting steps or guidance, merely a generic request for more information via a private channel. This lacks relevance, helpfulness, and groundedness in the provided evidence. The style is concise and professional but not empathetic or solution‑oriented. No unsupported claims are made, but the overall quality is poor.",0.5972413000126835,
620058,@115858 email verification code didn't work please let me know for more to do email verification code that would work for me to use for iTunes and app store thanks,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,5,5,1,1,1,1,1,3,False,"The reply fails to address the customer’s specific issue with the email verification code, offers no troubleshooting steps or guidance, and merely requests private details. It is not grounded in the historical evidence and does not move the customer toward a resolution.",2.093743400007952,
1167783,HOW DO I DOWNGRADE BACK TO IOS10?? @AppleSupport,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,5,5,1,3,1,1,1,4,False,"The reply does not address the customer’s request to downgrade to iOS 10 and omits the key policy that Apple does not support downgrading. It merely asks for details, which is not helpful for this specific issue. The response is concise and professional, but it fails to provide the necessary guidance or policy clarification, resulting in low scores for correctness, relevance, and helpfulness. The groundedness score reflects that the reply is not contradicted by evidence, but it also lacks the required content.",7.9997880999871995,
1697477,@115858 you guys need to fix this glitch before exclamation point and question mark box get a galaxy,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,5,5,1,1,1,1,1,3,False,"The reply does not address the customer’s reported glitch or provide the known workaround link from historical evidence. It merely asks for private details, which is not helpful or relevant to the issue. The response lacks any actionable guidance and does not align with the documented support approach.",8.447685099992668,
2015463,"No fr, @115858 needs to fix this 😩",We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,5,5,1,1,1,1,1,2,False,"The reply is generic and does not address the customer's request for a fix. It lacks specific troubleshooting steps or a workaround, and does not reference any evidence from the historical cases. It fails to move the customer toward resolution.",6.944834199995967,
2450946,@AppleSupport having problems with iphone switching off and the lock screen freezing and going blank and now it’s got worse since the update,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,5,5,3,5,2,2,2,3,False,"The reply only requests the customer to provide details via a private channel, which aligns with the historical evidence of AppleSupport asking for more information. However, it does not address the specific issue of the iPhone shutting down, lock screen freezing, or blank screen, nor does it offer any troubleshooting steps or empathy. Consequently, it scores low on correctness, relevance, and helpfulness, while remaining grounded in the evidence and not making unsupported claims. The style is concise and professional but lacks empathy.",8.058333699998911,
1171399,@AppleSupport help! This just happened? 😭 it turns on fine but then this happens when i go to enter the password and after 1-2min it dies?😭,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,5,5,1,1,1,1,1,2,False,"The reply is generic and does not address the specific issue of the device shutting down after entering the password. It offers no troubleshooting steps or guidance, and it does not reference any of the historical evidence. Consequently, it fails to help the customer move toward a resolution.",7.220607099996414,
310579,@115858 @AppleSupport Turning off Bluetooth or WiFi means it should be OFF. Apparently NOT the case with iOS 11. Get rid of this BS. 👎🏼,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,5,5,1,1,1,1,1,2,False,"The reply does not address the customer’s specific issue about Bluetooth/WiFi not turning off on iOS 11. It offers no troubleshooting steps or relevant information, merely a generic request for private details. This lacks relevance, helpfulness, and groundedness to the historical evidence.",8.111221800005296,
148071,@AppleSupport how do I sign out my Apple ID account without having to verify my account? I know the password to my Apple ID I just can’t verify my account because I forgot my email password I literally had this since the first iPod Touch came out. I just want to sign out,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,5,5,1,1,1,1,1,1,False,"The reply does not address the customer's request to sign out of their Apple ID without verification. It offers no troubleshooting steps or guidance, merely a generic request for private details, which is not helpful or grounded in the provided evidence.",8.05152989999624,
1264626,"#iOS11 sucks! Random lag,app freezing,Battery life worse,Control center wifi tab not working. Touch ID not working sometimes. @115858",We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,5,5,1,1,1,1,1,2,False,"The reply is generic and does not address any of the specific problems mentioned by the customer (lag, app freezing, battery life, Control Center wifi tab, Touch ID). It offers no troubleshooting steps or guidance, and it does not reference the historical evidence that provides a link to Touch ID fixes. Consequently, it fails to be correct, grounded, relevant, or helpful. The style is neutral but not particularly empathetic or concise. No unsupported claims are made, but the response is insufficient for effective support.",9.048889400000917,
2889481,@AppleSupport hi guys! I have an iPhone 6s Plus that has developed a “blurry” camera issue and the Touch ID is no longer working. Purchased earlier this year in UAE. Can you let me know via my receipt I can DM you if covered by warranty for a fix?,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,5,5,3,5,3,3,2,4,False,"The reply directs the customer to a private support channel, which aligns with the historical evidence of AppleSupport encouraging DMs. However, it does not address the customer's specific request about warranty coverage for the camera and Touch ID issues, nor does it provide any warranty information or next steps. Thus, while grounded and somewhat relevant, it lacks completeness and direct assistance regarding the warranty inquiry.",5.972175600007176,
1886919,@AppleSupport Touch at times is unresponsive and blinks on its will. Frustrating Apple 🍎,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,5,5,5,5,1,1,1,1,1,2,False,"The reply is generic and does not address the customer’s specific issue of intermittent touch unresponsiveness or blinking. It offers no troubleshooting steps or guidance, merely directing the customer to a private channel. This lacks relevance, helpfulness, and groundedness in the historical evidence, resulting in a low overall score.",8.843748099985532,
1146013,"@AppleSupport hello, team! I have reset my phone and restored it from iCloud backup but all my music in Apple Music is gone, except for the purchases made from iTunes Store before Apple Music. How do I fix it? iPhone SE 16, iOS 11.0.3",We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,4,5,5,4,1,1,1,1,1,3,False,"The reply does not address the customer’s specific issue of missing Apple Music after a reset and iCloud restore. It offers no troubleshooting steps or relevant information, and merely asks for details via a private channel, which is insufficient and unhelpful. The response is generic, not grounded in the historical evidence, and does not move the customer toward a resolution.",6.309093299991218,
2619893,"@AppleSupport if I buy iPhone X in France and travel to India, will I get international warranty?",We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,3,4,4,3,1,1,1,1,1,2,False,"The reply does not address the customer’s question about international warranty coverage for an iPhone X purchased in France and used in India. It merely asks for private details without providing any information or guidance, making it incorrect, irrelevant, and unhelpful. The response is concise and professional but fails to resolve the issue.",6.595234899985371,
2314355,"@AppleSupport Yes, restored as new from the phone (not itunes). I can't get a code from the trusted device, because the code isn't coming through to my phone because it's being set up essentially as a new phone, and it wont come through on my mac because my mac won't log in to my account.",We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,4,5,5,4,1,1,1,1,1,2,False,"The reply does not address the customer's specific issue of not receiving a verification code after restoring the phone. It offers no troubleshooting steps or guidance, merely a generic request for private details, which is not grounded in the historical evidence and fails to move the customer toward resolution.",10.144301699998323,
2040306,"Er WTF happened to my screen, @AppleSupport?!
@603285 https://t.co/UN7JYVAaxu",Could you DM us more details about the screen issue so we can help?,2,2,2,2,4,5,5,4,4,4,False,"The reply correctly addresses the customer's request by asking for more details via DM, which aligns with the historical AppleSupport responses. It is grounded in the evidence, directly relevant, and provides a next step toward resolution. However, it offers minimal guidance and could be slightly more empathetic or informative to improve helpfulness and style.",11.784684799989918,
2940386,@AppleSupport I would love to tell you what version I’m using but once again my computer is frozen and the spinning rainbow of death is taunting me. But yeah I think it started after I did the update,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,3,3,3,3,3,5,4,3,3,4,False,"The reply acknowledges the issue and requests further details, which aligns with the historical responses. It does not provide a direct solution or mention the spinning rainbow, so it is somewhat helpful but not fully addressing the customer's immediate frustration. The response is concise, professional, and grounded in the evidence, but it could be more empathetic and offer a quick workaround.",5.7091495000058785,
188498,@AppleSupport How can fix “Payment Delined” issue? I already made a new account but i  think that the old one is still saved somewhere. https://t.co/nuJo1ZS45o,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,4,5,5,4,2,1,1,1,1,3,False,"The reply does not address the customer’s specific issue of a payment being declined or the concern about an old account still being saved. It offers no troubleshooting steps or relevant information, and it is not grounded in the historical evidence provided. While the tone is concise and professional, it fails to move the customer toward a resolution.",9.104059200006304,
706147,@115858 @AppleSupport Just did your update. All my photos and videos are gone. How do I recover them? Or how do I reverse the update?,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,3,4,4,3,1,1,1,1,1,2,False,"The reply does not address the customer’s specific issue of photos and videos disappearing after an update, nor does it offer any troubleshooting steps or guidance on recovery or reversing the update. It merely asks for details via a private channel, which is generic and does not move the customer toward a resolution. It is not grounded in the historical evidence, which includes offering to recover photos and asking for details about the iOS version. The response lacks empathy and actionable advice, making it weak across all criteria.",10.514649299992016,
2172859,"Mais alguém tem tido problemas com@a #AppStore? Tá tudo bem aí, @115858?",We'd like to help. Please contact support so the issue can be reviewed.,4,5,5,4,1,1,1,1,1,2,False,"The draft reply does not address the customer’s question about whether others have experienced App Store issues. It offers a generic suggestion to contact support without referencing any specific troubleshooting steps or evidence. Consequently, it is not correct, not grounded, not relevant, and not helpful. The style is concise but lacks empathy and does not provide a solution.",5.105813499976648,
2893321,"@AppleSupport It says software is up-to date iOS 10.3.3
I didn't do it when I sent an email, and I haven't yet tried safari.
And yes the keyboard is going crazy, not just sending but adding letters I didn't type, and I will press delete and it types something else",We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,2,2,2,2,1,1,1,1,1,3,False,"The draft reply does not address the customer’s specific issue with the keyboard adding unintended letters or the mention of iOS 10.3.3. It merely requests a private support channel without providing any troubleshooting steps or acknowledging the problem. Therefore it fails to be correct, relevant, or helpful, and is not grounded in the historical evidence which shows AppleSupport asking for device details via DM. The style is concise and professional but lacks empathy and specific guidance.",10.162224700005027,
2448382,@AppleSupport Microphone on the back of my phone stopped working. Genius Bar told me it “definitely wasn’t my fault but that products break down earlier than expected sometimes.” Told me i could pay to replace it or upgrade. Got this iPhone in June. About to lose a loyal customer.,We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,3,3,3,3,1,1,1,1,1,1,False,"The reply is generic and does not address the customer’s specific microphone issue, nor does it offer any troubleshooting steps, repair options, or reference Apple’s warranty or repair policies. It fails to provide a solution or guidance, making it unhelpful and irrelevant to the customer’s request.",9.080554700020002,
146805,"Awesome new iPhone safety feature @115858 @AppleSupport 😍 Woukd be very impressed and intrigued to see statistics of how this works. Where can I find these? Best upgrade I’ve seen so far but don’t like the feature of all my data on it DOB, shipping address etc can I remove this? https://t.co/MHDDBrhUtd",We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,4,5,5,4,1,1,1,1,1,1,False,"The reply does not address the customer's request for information on the safety feature statistics or how to remove personal data. It is generic, lacks specific guidance, and does not reference any evidence. It fails to provide a solution or next steps, making it unhelpful and irrelevant.",3.953709700028412,
1352911,"@AppleSupport how do I roll back to an older iOS? This update is terrible, my phone never works",We'd like to help with your issue. Please provide the relevant details through a private support channel so the case can be reviewed securely.,3,4,4,3,1,1,1,1,1,3,False,"The reply does not address the customer’s request to roll back to an older iOS version. It offers no troubleshooting steps or guidance, merely a generic request for details. It is not grounded in the historical evidence, which shows AppleSupport typically asks for device details or directs to a private channel but does not provide rollback instructions. The response is not helpful or relevant to the issue and is overly vague. The style is neutral but not concise or empathetic. No unsupported claims are made, but the reply fails to meet the customer’s needs.",6.211869099992327,
